,level_0,asteroid,planet,dist,dist_max,dist_min,v_inf,v_rel
0,2021-12-23,137924 , Earth,0.428295291697045,0.428295517894786,0.428295065499522,25.7338084799356,25.7340502279704
1,2021-12-23,162783 , Earth,0.436826856957927,0.436829250323242,0.436824463592637,16.4870432943435,16.4874132548574
2,2021-12-23,2010 QN1 , Earth,0.456699587306867,0.456703528211352,0.456695646433456,20.4479482749013,20.4482335927691
3,2021-12-23,2016 LH10 , Earth,0.491415880572153,0.690224786200369,0.29325203497944,24.0886971375324,24.0889222231935
4,2021-12-23,2016 NR , Earth,0.352462600977214,0.352483516795716,0.352441685175682,11.9220548359784,11.922688905169
5,2021-12-23,2019 HS , Earth,0.396471742418913,0.398085981448364,0.394865555073004,13.173611093695,13.1741212307496
6,2021-12-23,2019 LK6 , Earth,0.228131781332781,0.252152680989725,0.205561657659568,14.3169582180655,14.3177739799979
7,2021-12-23,2020 DB4 , Earth,0.182313730159689,0.201954161857637,0.162753668471116,10.2846018941228,10.2860228333188
8,2021-12-23,2020 DQ3 , Earth,0.398231473344235,0.433241637128128,0.363482988460603,14.8505012953528,14.8509518309125
9,2021-12-23,2020 JE1 , Earth,0.250686424729433,0.251858582114701,0.249514308348446,5.07652276937275,5.0786160414091
10,2021-12-23,2021 XK5 , Earth,0.146046366026436,0.150212626978552,0.141883640555261,9.62681351545962,9.6287084591164
11,2021-12-23,2021 XT2 , Earth,0.153091667685683,0.154214959198101,0.151968374642304,19.2277880664959,19.2286932179515
12,2021-12-23,2021 YB , Earth,0.0037073317064924,0.0037191166834016,0.003695543712685,5.64979383457061,5.77560223565653
13,2021-12-24,2014 UW33 , Earth,0.21741851886201,0.2174197637842,0.217417273951784,14.9364931379304,14.9373135938497
14,2021-12-24,2015 HA177 , Earth,0.390310029307493,0.40234516301417,0.378297593253602,7.85399545760104,7.8548645940652
15,2021-12-24,2016 TR54 , Earth,0.0432463871865053,0.0432467331304024,0.0432460412426402,15.5262256013369,15.5301933224998
16,2021-12-24,2019 AY4 , Earth,0.466197131865369,0.466199149741703,0.466195113989193,20.6493240208744,20.6496008004314
17,2021-12-24,2020 YZ , Earth,0.328615968706402,0.328624007846698,0.32860792958542,16.5748022659104,16.5752914461758
18,2021-12-24,2021 KM1 , Earth,0.41308836153631,0.41500124303455,0.411175523319161,8.06224491830611,8.06304492176328
19,2021-12-24,2021 OQ , Earth,0.430644820422772,0.432538906118418,0.428751282867192,7.49839875100641,7.49922383982904
20,2021-12-24,2021 UG8 , Earth,0.239046380391227,0.239856838796416,0.238241859138407,2.69891689880404,2.70304365461892
21,2021-12-24,2021 WV2 , Earth,0.0947286700206681,0.0949128256690974,0.0945445146529972,7.41479578632055,7.41858824337902
22,2021-12-24,2021 XJ3 , Earth,0.0528778839726967,0.0531487292358856,0.0526070273520404,4.96896921399865,4.97909968180163
23,2021-12-25,2008 QU3 , Earth,0.198512462502036,0.198513445972584,0.19851147903203,9.69685649458774,9.69824057912927
24,2021-12-25,2012 XR111 , Earth,0.253846888172839,0.321747676273818,0.186589429786851,11.4506681519871,11.4515847782618
25,2021-12-25,2014 YQ , Earth,0.439380573178577,0.439381318691291,0.439379827666287,19.980294492415,19.9805979977449
26,2021-12-25,2015 YE21 , Earth,0.235926469609079,0.235927205334957,0.235925733883242,5.5636523228893,5.56568185767927
27,2021-12-25,2017 KA5 , Earth,0.278950528199391,0.282605968833384,0.275376273919772,8.72574775879249,8.72684235836757
28,2021-12-25,2020 BK1 , Earth,0.207940668791471,0.208338781000139,0.207548036498509,15.6607889279571,15.6616071062248
29,2021-12-25,2020 YW , Earth,0.137829890038683,0.137830954017705,0.137828826059927,17.5824055928478,17.5835050468757
30,2021-12-25,2021 AK , Earth,0.278598827689935,0.373708617330457,0.211300297365012,15.3823254878481,15.3829472185284
31,2021-12-25,2021 AT2 , Earth,0.202866009200166,0.204085317100599,0.201646696406202,8.46408650100352,8.46563811315787
32,2021-12-25,2021 HJ2 , Earth,0.40229679852528,0.402405593491877,0.402188003556555,7.93117465781094,7.93200969420607
33,2021-12-25,52750 , Earth,0.311409748863849,0.311409879377911,0.311409618349787,14.716552604438,14.717133991666
34,2021-12-26,154658 , Earth,0.364753812459744,0.364754926840616,0.364752698081589,23.2012309623603,23.2015458086233
35,2021-12-26,163454 , Earth,0.379210865957699,0.37921280879058,0.37920892312831,19.9186941881378,19.9190469380174
36,2021-12-26,2003 EZ16 , Earth,0.464018794434932,0.464019507534056,0.464018081341267,15.0462860372287,15.0466676667513
37,2021-12-26,2009 XP2 , Earth,0.248281156327676,0.264825747137888,0.231737962771552,12.0733739078208,12.0742627485779
38,2021-12-26,2012 AW , Earth,0.381573100804764,0.381588539750492,0.3815576618868,9.93656030591742,9.93726302731256
39,2021-12-26,2020 WW3 , Earth,0.434167573915559,0.435007996457716,0.433333396199084,13.5240614020073,13.5245151769935
40,2021-12-26,2021 WD2 , Earth,0.161524531801461,0.161971903032389,0.161077182554273,5.17708994044547,5.18027527146889
41,2021-12-26,2021 XG6 , Earth,0.107732119513095,0.109528330265032,0.105935910242405,10.3492522869622,10.3516417925205
42,2021-12-26,2021 XX3 , Earth,0.478517630372874,0.481708523044665,0.475326790428396,20.215687596488,20.2159630339052
43,2021-12-26,418849 , Earth,0.172503152484605,0.172503196799585,0.172503108169624,19.0989685240402,19.0997772403708
44,2021-12-26,436568 , Earth,0.274295403694435,0.274296217160017,0.27429459024708,25.0361051216513,25.0364931144767
